Total Calories,Dairy Products,Rectal Cancer
2336,89,2.53
2578,127,1.9
2431,117,2.84
1895,111,0.88
2352,100,2.66
2342,92,1.61
3349,413,4.38
2225,167,1.39
2869,218,3.89
1915,20,1.11
2135,17,0.13
3364,272,7.88
3398,254,11.92
3192,590,5.32
3264,293,9.74
3246,190,9.12
3457,438,7.42
3364,272,8.72
3107,483,6.34
2861,91,6.46
2848,159,4.27
3521,436,7.03
3201,182,4.91
3517,422,9.59
3190,388,5.91
2200,142,0.71
1940,101,0.59
1819,94,0.57
2570,93,0.66
2436,133,5.72
2938,364,6.07
2468,47,4.02
2551,47,6
2416,112,6.18
3366,337,9.99
3242,136,5.15
3409,402,10.99
3351,254,7.45
2862,181,0.66
3093,730,2.73
3079,186,6.38
3239,386,6.9
3260,385,5.49
2903,199,3.45
3177,444,6.87
3396,371,8.56
3256,345,6.34
